Date,Price,Open,High,Low,Vol.,Change %,numerical_change,yield
"Aug 02, 2020,""11118.9"",""11802.6"",""12061.1"",""10730.7"",647230,-5.80%,-5.8,low yield"
"Aug 01, 2020,""11803.1"",""11333.2"",""11847.7"",""11226.1"",611470,4.14%,4.14,medium yield"
"Jul 31, 2020,""11333.4"",""11096.5"",""11434.8"",""10964.6"",530950,2.14%,2.14,medium yield"
"Jul 30, 2020,""11096.2"",""11105.8"",""11164.4"",""10861.6"",501140,-0.09%,-0.09,medium yield"
"Jul 29, 2020,""11105.9"",""10908.4"",""11336.5"",""10771.8"",576830,1.81%,1.81,medium yield"
"Jul 28, 2020,""10908.5"",""10961.1"",""11046.1"",""10873.6"",658370,-1.04%,-1.04,low yield"
"Jul 27, 2020,""11022.8"",""9932.7"",""11367.0"",""9894.6"",908990,10.98%,10.98,high yield"
"Jul 26, 2020,""9932.5"",""9690.0"",""10086.6"",""9645.9"",415070,2.35%,2.35,medium yield"
"Jul 25, 2020,""9704.1"",""9546.7"",""9729.3"",""9536.2"",306290,1.65%,1.65,medium yield"
"Jul 24, 2020,""9546.4"",""9599.2"",""9626.2"",""9480.5"",359160,-0.55%,-0.55,low yield"
"Jul 23, 2020,""9599.6"",""9513.6"",""9646.5"",""9451.1"",425660,0.90%,0.9,medium yield"
"Jul 22, 2020,""9513.7"",""9387.4"",""9523.1"",""9296.0"",386000,1.35%,1.35,medium yield"
"Jul 21, 2020,""9387.3"",""9162.3"",""9426.9"",""9155.1"",458990,2.46%,2.46,medium yield"
"Jul 20, 2020,""9162.4"",""9208.1"",""9218.4"",""9139.9"",312980,-0.50%,-0.5,low yield"
"Jul 19, 2020,""9208.0"",""9170.1"",""9224.8"",""9106.4"",265250,0.41%,0.41,medium yield"
"Jul 18, 2020,""9170.2"",""9155.8"",""9198.8"",""9126.7"",276400,0.16%,0.16,medium yield"
"Jul 17, 2020,""9155.8"",""9135.4"",""9181.9"",""9091.5"",310920,0.22%,0.22,medium yield"
"Jul 16, 2020,""9135.3"",""9198.7"",""9224.2"",""9052.0"",429040,-0.69%,-0.69,low yield"
"Jul 15, 2020,""9198.7"",""9253.6"",""9270.2"",""9168.7"",429840,-0.59%,-0.59,low yield"
"Jul 14, 2020,""9253.4"",""9243.1"",""9274.8"",""9135.7"",453830,0.11%,0.11,medium yield"
"Jul 13, 2020,""9243.6"",""9300.5"",""9329.6"",""9207.6"",456870,-0.62%,-0.62,low yield"
"Jul 12, 2020,""9300.8"",""9234.2"",""9337.8"",""9170.4"",366880,0.73%,0.73,medium yield"
"Jul 11, 2020,""9233.3"",""9285.8"",""9295.5"",""9184.2"",353920,-0.56%,-0.56,low yield"
"Jul 10, 2020,""9285.1"",""9239.0"",""9309.8"",""9131.9"",418470,0.53%,0.53,medium yield"
"Jul 09, 2020,""9235.7"",""9430.1"",""9434.5"",""9176.0"",444270,-2.06%,-2.06,low yield"
"Jul 08, 2020,""9429.9"",""9256.3"",""9458.3"",""9233.1"",509940,1.88%,1.88,medium yield"
"Jul 07, 2020,""9256.0"",""9338.8"",""9371.2"",""9209.3"",420550,-0.89%,-0.89low yield"
"Jul 06, 2020,""9339.0"",""9080.4"",""9363.0"",""9063.2"",510270,2.84%,2.84,medium yield"
"Jul 05, 2020,""9081.0"",""9134.3"",""9149.6"",""8932.1"",314100,-0.58%,-0.58,low yield"
"Jul 04, 2020,""9134.4"",""9067.1"",""9182.3"",""9049.6"",261250,0.74%,0.74,medium yield"
"Jul 03, 2020,""9067.1"",""9085.0"",""9120.4"",""9050.9"",333880,-0.20%,-0.2,medium yield"
"Jul 02, 2020,""9085.1"",""9229.9"",""9259.7"",""8962.1"",483100,-1.57%,-1.57,low yield"
