Date,Price,Open,High,Low,Vol.(in 000),Change %,numerical_change,yield,Vol.
02-Aug-2020,11118.9,11802.6,12061.1,10730.7,647.23,-5.80%,-5.8,low yield,high
01-Aug-2020,11803.1,11333.2,11847.7,11226.1,611.47,4.14%,4.14,medium yield,high
31-Jul-2020,11333.4,11096.5,11434.8,10964.6,530.95,2.14%,2.14,medium yield,high
30-Jul-2020,11096.2,11105.8,11164.4,10861.6,501.14,-0.09%,-0.09,medium yield,high
29-Jul-2020,11105.9,10908.4,11336.5,10771.8,576.83,1.81%,1.81,medium yield,high
28-Jul-2020,10908.5,10961.1,11046.1,10873.6,658.37,-1.04%,-1.04,low yield,high
27-Jul-2020,11022.8,9932.7,11367,9894.6,908.99,10.98%,10.98,high yield,high
26-Jul-2020,9932.5,9690,10086.6,9645.9,415.07,2.35%,2.35,medium yield,low
25-Jul-2020,9704.1,9546.7,9729.3,9536.2,306.29,1.65%,1.65,medium yield,low
24-Jul-2020,9546.4,9599.2,9626.2,9480.5,359.16,-0.55%,-0.55,low yield,low
23-Jul-2020,9599.6,9513.6,9646.5,9451.1,425.66,0.90%,0.9,medium yield,low
22-Jul-2020,9513.7,9387.4,9523.1,9296,386,1.35%,1.35,medium yield,low
21-Jul-2020,9387.3,9162.3,9426.9,9155.1,458.99,2.46%,2.46,medium yield,low
20-Jul-2020,9162.4,9208.1,9218.4,9139.9,312.98,-0.50%,-0.5,low yield,low
19-Jul-2020,9208,9170.1,9224.8,9106.4,265.25,0.41%,0.41,medium yield,low
18-Jul-2020,9170.2,9155.8,9198.8,9126.7,276.4,0.16%,0.16,medium yield,low
17-Jul-2020,9155.8,9135.4,9181.9,9091.5,310.92,0.22%,0.22,medium yield,low
16-Jul-2020,9135.3,9198.7,9224.2,9052,429.04,-0.69%,-0.69,low yield,low
15-Jul-2020,9198.7,9253.6,9270.2,9168.7,429.84,-0.59%,-0.59,low yield,low
14-Jul-2020,9253.4,9243.1,9274.8,9135.7,453.83,0.11%,0.11,medium yield,low
13-Jul-2020,9243.6,9300.5,9329.6,9207.6,456.87,-0.62%,-0.62,low yield,low
12-Jul-2020,9300.8,9234.2,9337.8,9170.4,366.88,0.73%,0.73,medium yield,low
11-Jul-2020,9233.3,9285.8,9295.5,9184.2,353.92,-0.56%,-0.56,low yield,low
10-Jul-2020,9285.1,9239,9309.8,9131.9,418.47,0.53%,0.53,medium yield,low
09-Jul-2020,9235.7,9430.1,9434.5,9176,444.27,-2.06%,-2.06,low yield,low
08-Jul-2020,9429.9,9256.3,9458.3,9233.1,509.94,1.88%,1.88,medium yield,high
07-Jul-2020,9256,9338.8,9371.2,9209.3,420.55,-0.89%,-0.89,low yield,low
06-Jul-2020,9339,9080.4,9363,9063.2,510.27,2.84%,2.84,medium yield,high
05-Jul-2020,9081,9134.3,9149.6,8932.1,314.1,-0.58%,-0.58,low yield,low
04-Jul-2020,9134.4,9067.1,9182.3,9049.6,261.25,0.74%,0.74,medium yield,low
03-Jul-2020,9067.1,9085,9120.4,9050.9,333.88,-0.20%,-0.2,medium yield,low
02-Jul-2020,9085.1,9229.9,9259.7,8962.1,483.1,-1.57%,-1.57,low yield,low
